iter	RMSE
0	0.9714485632
1	0.9460274143
2	0.9208830261
3	0.8974568391
4	0.8756816124
5	0.853621955
6	0.8316850155
7	0.8109015527
8	0.7905249005
9	0.7712358748
10	0.752441155
11	0.7338699968
12	0.7146662982
13	0.6982208533
14	0.6827108445
15	0.6654189854
16	0.6485689713
17	0.6331602782
18	0.6176631589
19	0.6023235234
20	0.5876451179
21	0.5728898814
22	0.5599414474
23	0.547285659
24	0.5343200229
25	0.5213740104
26	0.5102738767
27	0.4986846321
28	0.4872593498
29	0.4770479751
30	0.4656320444
31	0.45449096
32	0.4440694412
33	0.4342112346
34	0.4246335263
35	0.4147094341
36	0.405469693
37	0.3973922043
38	0.3886583565
39	0.3804635591
40	0.3719102763
41	0.3639174212
42	0.3567232715
43	0.3490228848
44	0.3416083208
45	0.3340516045
46	0.3274832941
47	0.3212321938
48	0.3153159266
49	0.3092445518
50	0.3035322691
51	0.2979600691
52	0.2932049486
53	0.2874137076
54	0.2826634534
55	0.2781675809
56	0.2733017583
57	0.26806743
58	0.2628419943
59	0.2582540464
60	0.2538456492
61	0.2492143042
62	0.245603454
63	0.2413082167
64	0.2375007644
65	0.2337507466
66	0.2301624508
67	0.2263043066
68	0.2229893244
69	0.2196115545
70	0.2161279981
71	0.2130515967
72	0.2100197247
73	0.2068408057
74	0.2040456527
75	0.2014755888
76	0.1986070491
77	0.1965982393
78	0.1937550291
79	0.1913390192
80	0.189186545
81	0.1868532014
82	0.1844428089
83	0.1822995176
84	0.1802312739
85	0.178488126
86	0.1762513055
87	0.1744822421
88	0.1728459148
89	0.1712475552
90	0.1697148035
91	0.168670877
92	0.1670080906
93	0.165706804
94	0.1640961436
95	0.1627199732
96	0.1610106649
97	0.1595486874
98	0.1579980447
99	0.1567167821
100	0.1553878289
101	0.1541225881
102	0.1531021574
103	0.1519655352
104	0.1508735752
105	0.1500269423
106	0.1488605072
107	0.1477208366
108	0.1468563845
109	0.1458715781
110	0.1448496936
111	0.1439780153
112	0.1432976218
113	0.1424200406
114	0.1415399606
115	0.1406966444
116	0.1398979463
117	0.1390769745
118	0.138562638
119	0.1378976128
120	0.137209276
121	0.1365497094
122	0.1360388927
123	0.1355036851
124	0.1349474215
125	0.1343899338
126	0.1337460879
127	0.1331816404
128	0.132653922
129	0.1320689846
130	0.131747377
131	0.1313039586
132	0.1308306068
133	0.1303391122
134	0.1299625456
135	0.1296814733
136	0.1291796685
137	0.1288370262
138	0.1284364898
139	0.1280168385
140	0.1277618573
141	0.1274482363
142	0.1271625445
143	0.1267886219
144	0.1264397246
145	0.1262198105
146	0.1259364755
147	0.1256560991
148	0.1252169032
149	0.1249068079
150	0.1245200979
151	0.1241893428
152	0.1238977372
153	0.1236140122
154	0.1232435605
155	0.1229579907
156	0.122732254
157	0.1224149418
158	0.1221202623
159	0.1218371292
160	0.1215291011
161	0.1213081562
162	0.1210147698
163	0.1208608936
164	0.120542882
165	0.1202677494
166	0.1200760344
167	0.119838866
168	0.1196088167
169	0.1193258452
170	0.1191169279
171	0.1188666571
172	0.1186277411
173	0.1184113806
174	0.1180783055
175	0.1179436469
176	0.1177604477
177	0.1174625613
178	0.1172722882
179	0.117071846
180	0.1168726839
181	0.1167010817
182	0.116568074
183	0.1163728111
184	0.1162663768
185	0.1160197896
186	0.1158067977
187	0.1155269262
188	0.1153748298
189	0.1151040136
190	0.1149266411
191	0.1147770789
192	0.1145512048
193	0.1143803555
194	0.1142280494
195	0.1140145517
196	0.1138895675
197	0.1137574733
198	0.1135454327
199	0.1133762234
200	0.1131509145
201	0.1129751902
202	0.1127920351
203	0.1126622622
204	0.1125427191
205	0.112361117
206	0.1121700444
207	0.1120512653
208	0.1119323216
209	0.1117338316
210	0.1116459883
211	0.1115517293
212	0.1114368954
213	0.1113063152
214	0.1110827758
215	0.1109864686
216	0.1108050108
217	0.1106889817
218	0.1104783635
219	0.1103236784
220	0.1099858439
221	0.1099010958
222	0.1097175717
223	0.1095617087
224	0.1095064454
225	0.1092221576
226	0.1091225164
227	0.1090128936
228	0.1089089709
229	0.1087201185
230	0.1086186499
231	0.1085296935
232	0.1084210605
233	0.1082553719
234	0.1081267048
235	0.1079785884
236	0.107851581
237	0.1077173325
238	0.1076323831
239	0.1074266191
240	0.1073251206
241	0.1072417196
242	0.1071260693
243	0.1069889203
244	0.1068832049
245	0.1067646958
246	0.1066264204
247	0.1065600603
248	0.1064227456
249	0.1063830797
250	0.1061822547
251	0.1061065876
252	0.1059464182
253	0.1059211916
254	0.1058091642
255	0.1057787993
256	0.1056957147
257	0.105559627
258	0.105449584
259	0.1053503898
260	0.1053245334
261	0.1052463903
262	0.1051276169
263	0.1049741599
264	0.1048385127
265	0.1047027564
266	0.1045636715
267	0.1043916701
268	0.1042630113
269	0.104102844
270	0.1040054465
271	0.1038704755
272	0.1038012798
273	0.1037541797
274	0.1036766128
275	0.1035782631
276	0.1034555947
277	0.103296342
278	0.1031698779
279	0.1030458087
280	0.1029365378
281	0.1028014856
282	0.1026636176
283	0.1024480083
284	0.1023448006
285	0.1022378777
286	0.1022233806
287	0.1021121795
288	0.1019907794
289	0.10184838
290	0.1017403864
291	0.1016090313
292	0.101434536
293	0.1013360394
294	0.1012484126
295	0.1011814954
296	0.1010345286
297	0.1008865856
298	0.1008001138
299	0.1007229787
300	0.1006193959
301	0.1005094983
302	0.1004089436
303	0.1003011092
304	0.1001395923
305	0.1001017275
306	0.09998785477
307	0.09988512375
308	0.09979972295
309	0.0997708281
310	0.09965355263
311	0.09956759923
312	0.09942432937
313	0.09932195767
314	0.09923684106
315	0.09915047953
316	0.09908212018
317	0.09888530751
318	0.09880642861
319	0.09874987496
320	0.09870169308
321	0.09862158361
322	0.09845595925
323	0.09833233742
324	0.09827408704
325	0.09820429648
326	0.09802771901
327	0.09789626751
328	0.09785418914
329	0.09778848633
330	0.09766724501
331	0.09758991797
332	0.09746983803
333	0.09729174875
334	0.0971534557
335	0.09709537077
336	0.09707435294
337	0.09696359592
338	0.09682962023
339	0.09670642459
340	0.09653420207
341	0.09638864035
342	0.0962624578
343	0.09613375909
344	0.09606927562
345	0.09597227939
346	0.09586650947
347	0.09572535933
348	0.0956472
349	0.09559147871
350	0.09551705231
351	0.09545711327
352	0.09536007108
353	0.09526263978
354	0.09505091019
355	0.09487869923
356	0.09477394754
357	0.09471141819
358	0.09466636935
359	0.0946198514
360	0.09451390437
361	0.09446832893
362	0.09441885167
363	0.09436500509
364	0.09426556706
365	0.09409109699
366	0.09394818332
367	0.0937875091
368	0.0936315178
369	0.0935606293
370	0.09346632561
371	0.09337268477
372	0.09328593664
373	0.09316405154
374	0.09310224405
375	0.0930608396
376	0.09300423898
377	0.09295137498
378	0.09285286396
379	0.09275180293
380	0.09258896275
381	0.09250966887
382	0.09246853242
383	0.09241823203
384	0.09234727697
385	0.09218386763
386	0.09210925889
387	0.09203222565
388	0.09200321207
389	0.09194344162
390	0.09190440955
391	0.09184803846
392	0.09173560131
393	0.091671877
394	0.09162500438
395	0.09158869295
396	0.09151263862
397	0.09141053448
398	0.09137439266
399	0.09129360489
400	0.09114574411
401	0.09105456572
402	0.09097505614
403	0.09094439351
404	0.09090868216
405	0.09076537912
406	0.09073083487
407	0.09063617816
408	0.09058301088
409	0.09057365522
410	0.09054173074
411	0.09051402156
412	0.09048625307
413	0.09038655822
414	0.09036218495
415	0.0903152308
416	0.09028669149
417	0.09021387468
418	0.09013527284
419	0.08990356669
420	0.08985478325
421	0.08981521965
422	0.08971882383
423	0.08969559064
424	0.08946474389
425	0.08941403384
426	0.08938906196
427	0.08931035553
428	0.08906326414
429	0.08894085865
430	0.08891765008
431	0.08887322348
432	0.08878039135
433	0.08873875217
434	0.08868169987
435	0.08858905201
436	0.08857678198
437	0.08847075831
438	0.08845218294
439	0.08840725756
440	0.08818416594
441	0.08797243676
442	0.08794222207
443	0.08782155106
444	0.08774195007
445	0.08765282144
446	0.08745812276
447	0.08734341623
448	0.08729586595
449	0.08728743397
450	0.08720198369
451	0.0871665862
452	0.08711125809
453	0.08700397734
454	0.08693527804
455	0.08684866174
456	0.0868119719
457	0.08670467812
458	0.0866785669
459	0.08665937338
460	0.08658408678
461	0.08657558977
462	0.08656619135
463	0.08642187797
464	0.08631833747
465	0.08610150001
466	0.08606764455
467	0.08596953818
468	0.08594306614
469	0.08590017844
470	0.08567000365
471	0.08562589537
472	0.08558772615
473	0.08550474391
474	0.08543516023
475	0.08533722616
476	0.08526265623
477	0.08520909619
478	0.08510806158
479	0.08508692257
480	0.08496614959
481	0.08488759228
482	0.08478424661
483	0.08471249076
484	0.08455379581
485	0.08447934941
486	0.08441358569
487	0.08428984945
488	0.08418019496
489	0.08416356135
490	0.08412470784
491	0.08408183224
492	0.08402875953
493	0.08393873874
494	0.08388558202
495	0.08386378452
496	0.08380300141
497	0.08375732649
498	0.08373491754
499	0.08361358018
500	0.08354331869
501	0.08345850089
502	0.08339763685
503	0.08334008019
504	0.08328616732
505	0.08325562511
506	0.08324978283
507	0.08323978424
508	0.0830269674
509	0.08293416118
510	0.08289941475
511	0.08287031742
512	0.08275753351
513	0.08268518017
514	0.08262051731
515	0.08251650122
516	0.08245761025
517	0.0823444335
518	0.08224115465
519	0.08208712093
520	0.08197072129
521	0.08195882684
522	0.08194355377
523	0.0818657003
524	0.0817950653
525	0.08155602461
526	0.08141463386
527	0.08133489271
528	0.08127571248
529	0.08115938898
530	0.08109195164
531	0.08103486957
532	0.08090701818
533	0.08075806487
534	0.08071672312
535	0.08062937558
536	0.08048331374
537	0.08031470375
538	0.08021463223
539	0.08006812178
540	0.07992540259
541	0.07991180865
542	0.07988661661
543	0.07969657377
544	0.07959591149
545	0.07955003751
546	0.07941850121
547	0.07918152281
548	0.07916995623
549	0.07907454599
550	0.07890975146
551	0.07880116136
552	0.07873576436
553	0.07868589719
554	0.07863315858
555	0.07857995566
556	0.07844157117
557	0.07839098721
558	0.07837793904
559	0.07836567937
560	0.07831118824
561	0.07817515388
562	0.07812485099
563	0.07799303959
564	0.07794984467
565	0.07779368416
566	0.07769977282
567	0.07765164949
568	0.07762220074
569	0.07756959738
570	0.07755709166
571	0.0775087019
572	0.0774192329
573	0.07722725361
574	0.07718976122
575	0.07717112379
576	0.07706100787
577	0.07704958298
578	0.07686183561
579	0.07677189773
580	0.07673531596
581	0.07659722974
582	0.0765003727
583	0.07649150025
584	0.0764357074
585	0.07637994926
586	0.07633967101
587	0.07627892582
588	0.07622826495
589	0.07607589781
590	0.07604863106
591	0.07602511169
592	0.07598111706
593	0.07593511418
594	0.07588549128
595	0.07585355309
596	0.07574724659
597	0.07564569805
598	0.07559888566
599	0.07556707157
600	0.07550960287
601	0.07537885971
602	0.07536905209
603	0.07531312999
604	0.07526819346
605	0.0751981042
606	0.07517224218
607	0.0749831666
608	0.07480602436
609	0.07479922425
610	0.07474139378
611	0.07473313328
612	0.07468808737
613	0.07459453637
614	0.07456233842
615	0.074527463
616	0.0744872688
617	0.07447713198
618	0.07445597731
619	0.0743220929
620	0.07428469129
621	0.07422656484
622	0.07417682492
623	0.07406833512
624	0.07395568549
625	0.07390239709
626	0.07373945822
627	0.07361187695
628	0.07356772597
629	0.07343482893
630	0.07339572342
631	0.07324036083
632	0.07320841117
633	0.0731592632
634	0.07314535234
635	0.07302987032
636	0.07295008583
637	0.07291991849
638	0.0729048165
639	0.0728198887
640	0.07268162171
641	0.07267427299
642	0.07263971529
643	0.07261606752
644	0.07256838686
645	0.0725353226
646	0.07250285597
647	0.07246614955
648	0.07245718541
649	0.0723979353
650	0.07232783337
651	0.07228514164
652	0.07213551233
653	0.07203128962
654	0.07191436564
655	0.07187787833
656	0.07184124388
657	0.07176292032
658	0.07175218128
659	0.07159370324
660	0.07151820211
661	0.07133364989
662	0.07129065985
663	0.07127619422
664	0.07123371874
665	0.07119073358
666	0.07107324603
667	0.07099428707
668	0.07096526783
669	0.07092638411
670	0.07083186952
671	0.07079907328
672	0.07076242331
673	0.07075066551
674	0.07073657837
675	0.07068679287
676	0.07051996919
677	0.07047948026
678	0.07043997424
679	0.07040068394
680	0.07034047158
681	0.07030665246
682	0.07027868754
683	0.07027120011
684	0.07021167708
685	0.07014326502
686	0.07011478011
687	0.07010494335
688	0.07007550298
689	0.06989814963
690	0.06980078172
691	0.06976003698
692	0.06970270219
693	0.06967013215
694	0.06965775923
695	0.06964655694
696	0.06960875417
697	0.06949943211
698	0.06938985655
699	0.06937481591
700	0.06936697979
701	0.06936248729
702	0.06932304837
703	0.06930246156
704	0.06917239745
705	0.06903341703
706	0.0690206718
707	0.06892833886
708	0.06877028778
709	0.06876231852
710	0.0687213412
711	0.06868371021
712	0.06864860152
713	0.06863723611
714	0.06863018919
715	0.06859336001
716	0.06856964282
717	0.06850058943
718	0.06846078438
719	0.06842918392
720	0.068409379
721	0.06828400377
722	0.06809581016
723	0.06807211848
724	0.06804089178
725	0.06799758117
726	0.06784501784
727	0.06775270859
728	0.06764752578
729	0.06763800476
730	0.06757175739
731	0.06753561282
732	0.06750946064
733	0.06748960588
734	0.0674132734
735	0.06726361991
736	0.06723845266
737	0.06718486995
738	0.06714576713
739	0.06700686175
740	0.066906356
741	0.06687829295
742	0.06685355003
743	0.06681592349
744	0.06678760607
745	0.06665812814
746	0.06664959297
747	0.06658540622
748	0.06653720616
749	0.0664390029
750	0.06631053559
751	0.06626913306
752	0.06611347952
753	0.06605338421
754	0.0660144004
755	0.06600618192
756	0.06588293214
